u,v,weight,max_capacity,time,damage
47,199,2.45,9999999,6.1,0
66,120,2.79,9999999,9.9,0
71,147,2.67,9999999,7.8,0
248,65,3.42,9999999,9.2,0
154,120,4.18,9999999,11.2,0
30,129,2.58,9999999,9.9,0
237,116,2.75,9999999,6.2,0
71,17,2.52,9999999,4.2,0
259,66,1.77,9999999,6.9,0
15,269,2.89,9999999,11.3,0
135,139,2.73,9999999,4.8,0
231,268,2.14,9999999,6.7,0
93,265,2.55,9999999,7.3,0
36,15,2.74,9999999,7.5,0
154,191,3.32,9999999,7.4,0
248,196,2.79,9999999,6.3,0
274,136,2.75,9999999,6.0,0
255,69,1.51,9999999,6.5,0
25,159,3.22,9999999,9.4,0
144,120,4.67,9999999,14.7,0
116,69,2.72,9999999,5.4,0
56,148,3.07,9999999,7.6,0
84,83,3.03,9999999,11.5,0
130,159,18.35,9999999,32.5,0
103,139,2.78,9999999,6.6,0
274,169,2.79,9999999,4.2,0
82,261,2.64,9999999,6.6,0
218,110,2.75,9999999,8.5,0
86,250,2.75,9999999,6.3,0
193,55,2.83,9999999,8.2,0
149,17,2.73,9999999,5.4,0
188,256,2.67,9999999,6.8,0
153,157,2.75,9999999,6.3,0
109,94,2.69,9999999,8.8,0
244,139,2.65,9999999,9.3,0
160,136,2.89,9999999,7.5,0
103,155,2.83,9999999,8.3,0
159,56,2.53,9999999,6.8,0
150,136,2.72,9999999,5.4,0
242,69,2.7,9999999,7.8,0
233,115,2.83,9999999,6.8,0
133,19,3.67,9999999,11.8,0
142,237,3.48,9999999,7.8,0
193,139,2.98,9999999,7.7,0
109,194,3.04,9999999,9.6,0
104,151,2.68,9999999,5.5,0
177,47,3.17,9999999,10.2,0
220,241,9.37,9999999,23.2,0
185,178,2.97,9999999,7.0,0
91,53,4.6,9999999,13.4,0
49,154,2.63,9999999,7.0,0
99,17,13.34,9999999,23.1,0
103,135,3.32,9999999,7.7,0
259,109,2.46,9999999,7.9,0
57,251,3.61,9999999,9.5,0
164,56,3.27,9999999,7.5,0
207,138,2.95,9999999,11.6,0
22,69,3.83,9999999,6.5,0
68,24,2.96,9999999,6.6,0
255,116,3.84,9999999,10.2,0
118,49,5.99,9999999,12.8,0
209,66,2.77,9999999,9.8,0
109,157,2.91,9999999,6.7,0
176,272,3.15,9999999,7.3,0
131,74,3.0,9999999,6.8,0
188,23,2.59,9999999,7.0,0
82,122,2.91,9999999,8.2,0
277,72,2.88,9999999,6.3,0
144,49,2.7,9999999,8.0,0
203,98,3.07,9999999,5.2,0
38,98,2.94,9999999,5.8,0
169,163,5.46,9999999,15.4,0
240,229,2.18,9999999,4.4,0
148,25,3.46,9999999,8.4,0
2,72,2.9,9999999,6.4,0
65,188,3.69,9999999,9.4,0
77,199,4.69,9999999,13.2,0
3,42,3.58,9999999,8.0,0
134,75,2.97,9999999,8.2,0
142,146,2.51,9999999,7.3,0
39,263,3.05,9999999,7.3,0
240,63,4.0,9999999,7.2,0
230,264,3.3,9999999,11.7,0
196,188,3.06,9999999,6.2,0
80,94,3.5,9999999,11.7,0
198,202,3.11,9999999,8.4,0
22,280,3.43,9999999,8.6,0
181,180,4.54,9999999,15.7,0
1,235,2.98,9999999,8.6,0
22,51,3.53,9999999,8.6,0
230,188,5.27,9999999,14.4,0
124,78,2.87,9999999,7.0,0
231,12,3.56,9999999,7.4,0
233,79,3.45,9999999,9.3,0
218,56,2.99,9999999,7.2,0
162,122,2.88,9999999,8.4,0
212,200,3.36,9999999,11.6,0
157,194,3.33,9999999,7.2,0
70,262,3.16,9999999,8.4,0
158,148,3.49,9999999,7.3,0
21,69,3.2,9999999,6.3,0
203,277,3.32,9999999,6.2,0
191,66,3.41,9999999,10.8,0
38,277,3.2,9999999,6.8,0
26,171,3.83,9999999,12.9,0
193,29,3.92,9999999,10.3,0
170,275,7.73,9999999,17.2,0
203,2,3.3,9999999,6.1,0
38,2,3.17,9999999,6.7,0
76,210,3.43,9999999,7.9,0
140,154,3.31,9999999,11.2,0
39,4,3.18,9999999,7.6,0
208,210,4.69,9999999,14.2,0
219,212,3.73,9999999,8.9,0
125,97,3.32,9999999,6.5,0
204,86,3.24,9999999,7.5,0
149,29,3.24,9999999,6.5,0
70,186,3.46,9999999,8.3,0
208,200,3.73,9999999,11.6,0
1,275,3.27,9999999,9.9,0
8,40,3.5,9999999,7.5,0
231,61,2.78,9999999,8.8,0
162,261,3.27,9999999,10.6,0
1,90,3.35,9999999,9.3,0
168,98,3.41,9999999,4.8,0
179,113,2.4,9999999,8.2,0
170,235,7.69,9999999,16.9,0
42,264,17.32,9999999,35.5,0
60,104,3.28,9999999,6.0,0
91,184,3.69,9999999,8.9,0
250,111,3.35,9999999,8.2,0
71,280,3.38,9999999,7.2,0
230,248,5.76,9999999,16.1,0
28,52,3.27,9999999,7.2,0
253,77,8.35,9999999,21.0,0
89,111,3.67,9999999,8.7,0
230,256,3.41,9999999,12.0,0
99,280,13.25,9999999,23.2,0
85,8,3.38,9999999,5.3,0
145,44,4.0,9999999,11.4,0
89,91,4.65,9999999,13.1,0
48,254,3.46,9999999,14.4,0
24,59,3.6,9999999,8.7,0
218,159,3.4,9999999,8.5,0
177,269,3.94,9999999,15.6,0
165,135,4.18,9999999,12.2,0
35,56,4.78,9999999,11.8,0
